Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
345,0.392307692,71.9368289,1,1.92%
346,0.392307692,71.90731335,1,1.92%
347,0.392307692,71.85607721,1,1.92%
348,0.392307692,71.75593497,1,1.92%
349,0.392307692,71.54658849,1,1.92%
350,0.392307692,71.23107514,1,1.92%
351,0.392307692,71.08586035,1,1.92%
352,0.392307692,71.05548249,1,1.92%
353,0.392307692,71.043595,1,1.92%
354,0.392307692,71.03722192,1,1.92%
355,0.392307692,71.03321252,1,1.92%
356,0.392307692,71.03043195,1,1.92%
357,0.392307692,71.0283722,1,1.92%
358,0.392307692,71.02677194,1,1.92%
359,0.392307692,71.02548294,1,1.92%
360,0.392307692,71.02441485,1,1.92%
361,0.392307692,71.02350939,1,1.92%
362,0.392307692,71.02272724,1,1.92%
363,0.392307692,71.02204091,1,1.92%
364,0.392307692,71.02143056,1,1.92%
365,0.392307692,71.0208815,1,1.92%
366,0.392307692,71.02038261,1,1.92%
367,0.392307692,71.01992529,1,1.92%
368,0.392307692,71.01950282,1,1.92%
369,0.392307692,71.01910982,1,1.92%
370,0.392307692,71.01874194,1,1.92%
371,0.392307692,71.01839564,1,1.92%
372,0.392307692,71.01806797,1,1.92%
373,0.392307692,71.01775649,1,1.92%
374,0.392307692,71.01745911,1,1.92%
375,0.392307692,71.01717409,1,1.92%
376,0.392307692,71.01689989,1,1.92%
377,0.392307692,71.01663523,1,1.92%
378,0.392307692,71.01637896,1,1.92%
379,0.392307692,71.01613008,1,1.92%
380,0.392307692,71.0158877,1,1.92%
381,0.392307692,71.01565104,1,1.92%
382,0.392307692,71.0154194,1,1.92%
383,0.392307692,71.01519213,1,1.92%
384,0.392307692,71.01496866,1,1.92%
385,0.392307692,71.01474847,1,1.92%
386,0.392307692,71.01453107,1,1.92%
387,0.392307692,71.014316,1,1.92%
388,0.392307692,71.01410285,1,1.92%
389,0.392307692,71.01389121,1,1.92%
390,0.392307692,71.01368072,1,1.92%
391,0.392307692,71.01347102,1,1.92%
392,0.392307692,71.01326175,1,1.92%
393,0.392307692,71.01305259,1,1.92%
394,0.392307692,71.0128432,1,1.92%
395,0.392307692,71.01263327,1,1.92%
396,0.392307692,71.01242248,1,1.92%
397,0.392307692,71.01221051,1,1.92%
398,0.392307692,71.01199703,1,1.92%
399,0.392307692,71.01178172,1,1.92%
400,0.392307692,71.01156425,1,1.92%
401,0.392307692,71.01134427,1,1.92%
402,0.392307692,71.01112143,1,1.92%
403,0.392307692,71.01089537,1,1.92%
404,0.392307692,71.01066569,1,1.92%
405,0.392307692,71.01043199,1,1.92%
406,0.392307692,71.01019385,1,1.92%
407,0.392307692,71.0099508,1,1.92%
408,0.392307692,71.00970236,1,1.92%
409,0.392307692,71.009448,1,1.92%
410,0.392307692,71.00918715,1,1.92%
411,0.392307692,71.00891921,1,1.92%
412,0.392307692,71.00864352,1,1.92%
413,0.392307692,71.00835933,1,1.92%
414,0.392307692,71.00806586,1,1.92%
415,0.392307692,71.00776224,1,1.92%
416,0.392307692,71.00744748,1,1.92%
417,0.392307692,71.00712053,1,1.92%
418,0.392307692,71.00678018,1,1.92%
419,0.392307692,71.0064251,1,1.92%
420,0.392307692,71.00605379,1,1.92%
421,0.392307692,71.00566456,1,1.92%
422,0.392307692,71.00525549,1,1.92%
423,0.392307692,71.00482442,1,1.92%
424,0.392307692,71.00436886,1,1.92%
425,0.392307692,71.00388595,1,1.92%
426,0.392307692,71.00337239,1,1.92%
427,0.392307692,71.00282437,1,1.92%
428,0.392307692,71.00223743,1,1.92%
429,0.392307692,71.00160631,1,1.92%
430,0.392307692,71.00092481,1,1.92%
431,0.392307692,71.00018553,1,1.92%
432,0.392307692,70.9993796,1,1.92%
433,0.392307692,70.99849624,1,1.92%
434,0.392307692,70.99752229,1,1.92%
435,0.392307692,70.99644149,1,1.92%
436,0.392307692,70.9952335,1,1.92%
437,0.392307692,70.99387258,1,1.92%
438,0.392307692,70.99232573,1,1.92%
439,0.392307692,70.99054988,1,1.92%
440,0.392307692,70.98848791,1,1.92%
441,0.392307692,70.98606249,1,1.92%
442,0.392307692,70.9831665,1,1.92%
443,0.392307692,70.97964758,1,1.92%
444,0.392307692,70.97528223,1,1.92%
445,0.392307692,70.96973045,1,1.92%
446,0.392307692,70.96245206,1,1.92%
447,0.392307692,70.95254285,1,1.92%
448,0.392307692,70.93838972,1,1.92%
449,0.392307692,70.91688144,1,1.92%
450,0.392307692,70.88142639,1,1.92%
451,0.392307692,70.81654814,1,1.92%
452,0.392307692,70.68388241,1,1.92%
453,0.392307692,70.41833043,1,1.92%
454,0.392307692,70.13887881,1,1.92%
455,0.392307692,70.06275275,1,1.92%
456,0.392307692,70.04275312,1,1.92%
457,0.392307692,70.03378141,1,1.92%
458,0.392307692,70.02868529,1,1.92%
459,0.392307692,70.02538756,1,1.92%
460,0.392307692,70.02306733,1,1.92%
461,0.392307692,70.0213359,1,1.92%
462,0.392307692,70.01998572,1,1.92%
463,0.392307692,70.018896,1,1.92%
464,0.392307692,70.01799172,1,1.92%
465,0.392307692,70.01722385,1,1.92%
466,0.392307692,70.01655899,1,1.92%
467,0.392307692,70.01597363,1,1.92%
468,0.392307692,70.01545071,1,1.92%
469,0.392307692,70.01497754,1,1.92%
470,0.392307692,70.01454452,1,1.92%
471,0.392307692,70.01414418,1,1.92%
472,0.392307692,70.01377069,1,1.92%
473,0.392307692,70.01341934,1,1.92%
474,0.392307692,70.01308635,1,1.92%
475,0.392307692,70.0127686,1,1.92%
476,0.392307692,70.01246347,1,1.92%
477,0.392307692,70.01216879,1,1.92%
478,0.392307692,70.01188269,1,1.92%
479,0.392307692,70.01160354,1,1.92%
480,0.392307692,70.01132994,1,1.92%
481,0.392307692,70.01106064,1,1.92%
482,0.392307692,70.01079451,1,1.92%
483,0.392307692,70.01053054,1,1.92%
484,0.392307692,70.01026778,1,1.92%
485,0.392307692,70.01000535,1,1.92%
486,0.392307692,70.00974243,1,1.92%
487,0.392307692,70.00947821,1,1.92%
488,0.392307692,70.00921192,1,1.92%
489,0.392307692,70.00894278,1,1.92%
490,0.392307692,70.00867004,1,1.92%
491,0.392307692,70.00839289,1,1.92%
492,0.392307692,70.00811055,1,1.92%
493,0.392307692,70.00782219,1,1.92%
494,0.392307692,70.00752693,1,1.92%
495,0.392307692,70.00722385,1,1.92%
496,0.392307692,70.00691195,1,1.92%
497,0.392307692,70.00659019,1,1.92%
498,0.392307692,70.0062574,1,1.92%
499,0.392307692,70.00591232,1,1.92%
500,0.392307692,70.00555356,1,1.92%
501,0.392307692,70.00517956,1,1.92%
502,0.392307692,70.00478861,1,1.92%
503,0.392307692,70.00437877,1,1.92%
504,0.392307692,70.00394786,1,1.92%
505,0.392307692,70.00349339,1,1.92%
506,0.392307692,70.00301253,1,1.92%
507,0.392307692,70.00250202,1,1.92%
508,0.392307692,70.00195809,1,1.92%
509,0.392307692,70.00137636,1,1.92%
510,0.392307692,70.00075169,1,1.92%
511,0.392307692,70.00007803,1,1.92%
512,0.392307692,69.99934816,1,1.92%
513,0.392307692,69.99855346,1,1.92%
514,0.392307692,69.99768351,1,1.92%
515,0.392307692,69.99672556,1,1.92%
516,0.392307692,69.99566394,1,1.92%
517,0.392307692,69.9944791,1,1.92%
518,0.392307692,69.99314636,1,1.92%
519,0.392307692,69.99163416,1,1.92%
520,0.392307692,69.98990149,1,1.92%
521,0.392307692,69.98789414,1,1.92%
522,0.392307692,69.98553904,1,1.92%
523,0.392307692,69.98273545,1,1.92%
524,0.392307692,69.97934091,1,1.92%
525,0.392307692,69.97514775,1,1.92%
526,0.392307692,69.96984247,1,1.92%
527,0.392307692,69.96293149,1,1.92%
528,0.392307692,69.95359758,1,1.92%
529,0.392307692,69.94040203,1,1.92%
530,0.392307692,69.92061471,1,1.92%
531,0.392307692,69.88856115,1,1.92%
532,0.392307692,69.8311703,1,1.92%
533,0.392307692,69.71600449,1,1.92%
534,0.392307692,69.47812305,1,1.92%
535,0.392307692,69.17345598,1,1.92%
536,0.392307692,69.06756402,1,1.92%
537,0.392307692,69.04327941,1,1.92%
538,0.392307692,69.03309091,1,1.92%
539,0.392307692,69.02749185,1,1.92%
540,0.392307692,69.02394131,1,1.92%
541,0.392307692,69.02147858,1,1.92%
542,0.392307692,69.01966111,1,1.92%
543,0.392307692,69.01825706,1,1.92%
544,0.392307692,69.01713334,1,1.92%
545,0.392307692,69.0162082,1,1.92%
546,0.392307692,69.01542866,1,1.92%
547,0.392307692,69.01475889,1,1.92%
548,0.392307692,69.01417381,1,1.92%
549,0.392307692,69.01365533,1,1.92%
550,0.392307692,69.01319007,1,1.92%
551,0.392307692,69.01276794,1,1.92%
552,0.392307692,69.01238117,1,1.92%
553,0.392307692,69.01202366,1,1.92%
554,0.392307692,69.01169058,1,1.92%
555,0.392307692,69.01137805,1,1.92%
556,0.392307692,69.01108289,1,1.92%
557,0.392307692,69.01080248,1,1.92%
558,0.392307692,69.01053464,1,1.92%
559,0.392307692,69.01027755,1,1.92%
560,0.392307692,69.01002964,1,1.92%
561,0.392307692,69.00978958,1,1.92%
562,0.392307692,69.00955622,1,1.92%
563,0.392307692,69.00932854,1,1.92%
564,0.392307692,69.00910565,1,1.92%
565,0.392307692,69.00888679,1,1.92%
566,0.392307692,69.00867122,1,1.92%
567,0.392307692,69.00845833,1,1.92%
568,0.392307692,69.00824752,1,1.92%
569,0.392307692,69.00803827,1,1.92%
570,0.392307692,69.00783006,1,1.92%
